Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
braki,15,"['nheþ', 14, 'svg3en', 1]",bragi,44,"['nkens', 40, 'nkfo', 3, 'svg3en', 1]",False,False
jaka,4,"['sng', 1, 'nkeþ', 1, 'nkfo', 1, 'nkeo', 1]",jaga,2,"['sng', 2]",False,False
kjörum,57,"['nhfþ', 57]",gjörum,2,"['sfg1fn', 2]",True,False
hauk,17,"['nkeos', 12, 'nkeo', 4, 'nkeþ', 1]",haug,20,"['nkeþ', 13, 'nkeo', 7]",False,False
kæran,8,"['nveng', 6, 'lkeosf', 2]",gæran,2,"['nveng', 2]",False,False
komma,19,"['nkfo', 7, 'nven', 6, 'nkee', 2, 'nkfe', 2, 'nkeo', 1, 'nkeþ', 1]",gomma,2,"['nven', 2]",False,False
bakaði,27,"['sfg3eþ', 24, 'sfg1eþ', 3]",bagaði,2,"['sfg3eþ', 2]",False,False
ríka,58,"['lveosf', 39, 'lhenvf', 5, 'lkeevf', 5, 'lheevf', 4, 'lkfosf', 3, 'lvenvf', 2]",ríga,1,"['nven', 1]",True,False
sakaðir,4,"['sþgkfn', 3, 'lkfnsf', 1]",sagaðir,1,"['lkfnsf', 1]",False,False
svikið,62,"['ssg', 56, 'lheosf', 3, 'lhensf', 3]",svigið,1,"['nheng', 1]",True,False
kryfja,6,"['sng', 6]",gryfja,2,"['nven', 2]",True,False
kála,15,"['sng', 15]",gála,4,"['nven', 4]",True,False
vaknar,92,"['sfg3en', 87, 'sfg2en', 5]",vagnar,4,"['nkfn', 4]",True,False
sjúka,12,"['lkfosf', 5, 'lveosf', 2, 'lkeþvf', 2, 'lkeovf', 1, 'lkeevf', 1, 'lheovf', 1]",sjúga,45,"['sng', 41, 'sfg3fn', 4]",True,False
luku,19,"['sfg3fþ', 19]",lugu,5,"['sfg3fþ', 5]",False,True
svik,34,"['nhfn', 19, 'nhfo', 15]",svig,7,"['nheo', 7]",True,False
kátur,52,"['lkensf', 52]",gátur,14,"['nvfo', 8, 'nvfn', 6]",True,False
knýr,18,"['sfg3en', 18]",gnýr,8,"['sfg3en', 5, 'nken', 3]",False,False
eikur,3,"['nvfn', 1, 'nvee', 1, 'nvfo', 1]",eigur,60,"['nvfo', 45, 'nvfn', 15]",False,False
svikum,17,"['nhfþ', 17]",svigum,7,"['nkfþ', 7]",True,False
baukinn,9,"['nkeog', 9]",bauginn,2,"['nkeog', 2]",False,True
kát,34,"['lvensf', 29, 'lhfnsf', 5]",gát,30,"['nveþ', 19, 'nheo', 5, 'nveo', 4, 'nven', 2]",True,False
leikara,22,"['nkfe', 6, 'nkeþ', 5, 'nkfo', 5, 'nkeo', 3, 'nkee', 2, 'nkeþ', 1]",leigara,3,"['nkeo', 2, 'nkfo', 1]",False,False
vekur,95,"['sfg3en', 94, 'sfg2en', 1]",vegur,67,"['nken', 50, 'sfg3en', 16, 'sfg2en', 1]",False,False
kali,4,"['nheþ', 4]",gali,2,"['nheþ', 2]",False,True
kamba,2,"['nkfo', 2]",gamba,1,"['nkeþ', 1]",True,False
kengur,2,"['nken', 2]",gengur,1032,"['sfg3en', 1013, 'sfg2en', 18, 'lkensf', 1]",True,False
klóra,40,"['sng', 38, 'sfg1en', 1, 'sfg3fn', 1]",glóra,8,"['nven', 4, 'sng', 3, 'nkeo', 1]",False,False
kæti,37,"['nveþ', 28, 'nven', 4, 'svg3en', 3, 'nvee', 1, 'nveo', 1]",gæti,2529,"['svg3eþ', 1993, 'svg1eþ', 511, 'sfg1en', 14, 'nheþ', 9, 'nhfo', 1, 'nkeþ', 1]",True,False
leikið,117,"['ssg', 108, 'sþghen', 7, 'sbg2fn', 1, 'sfg2fn', 1]",leigið,1,"['sbg2fn', 1]",False,False
raka,71,"['sng', 42, 'nkeþ', 10, 'nhfe', 7, 'lveosf', 4, 'nkeo', 4, 'sfg1en', 2, 'nkee', 1, 'nhfþ', 1]",raga,3,"['sng', 3]",False,False
vek,9,"['sfg1en', 8, 'sbg2en', 1]",veg,534,"['nkeo', 533, 'sfg1en', 1]",False,False
lokar,92,"['sfg3en', 83, 'nkfn', 6, 'sfg2en', 2, 'nkeo', 1]",logar,33,"['sfg3en', 28, 'nkfn', 5]",False,False
sakna,139,"['sng', 88, 'sfg1en', 49, 'sfg3fn', 2]",sagna,72,"['nvfe', 71, 'nven', 1]",True,False
slaki,1,"['svg3en', 1]",slagi,5,"['nheþ', 5]",True,False
arkaði,36,"['sfg3eþ', 28, 'sfg1eþ', 8]",argaði,8,"['sfg3eþ', 8]",False,False
klætt,43,"['ssg', 19, 'lhensf', 15, 'sþghen', 8, 'lheosf', 1]",glætt,5,"['ssg', 4, 'lhensf', 1]",False,False
slakað,17,"['ssg', 15, 'lhensf', 2]",slagað,1,"['ssg', 1]",False,False
bankað,57,"['lhensf', 38, 'ssg', 19]",bangað,1,"['ssg', 1]",False,False
