Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
spaghettí,10,"['nhen', 5, 'nheo', 4, 'nheþ', 1]",spaghetti,3,"['nheþ', 2, 'nheo', 1]",False,False
skíni,6,"['svg3en', 4, 'svg3fn', 2]",skini,33,"['nheþ', 23, 'svg3en', 7, 'svg3eþ', 2, 'svg3fn', 1]",False,False
líti,40,"['svg3en', 28, 'svg3fn', 9, 'svg1en', 3]",liti,106,"['svg3eþ', 50, 'nkfo', 42, 'svg3en', 8, 'svg1eþ', 4, 'svg3fn', 2]",False,False
fríð,16,"['lvensf', 16]",frið,149,"['nkeo', 149]",True,False
glímt,8,"['ssg', 4, 'sþghen', 4]",glimt,2,"['nheo', 2]",True,False
sígur,43,"['sfg3en', 43]",sigur,101,"['nkeo', 69, 'nken', 23, 'nkens', 7, 'nkeos', 2]",True,False
smíðanna,1,"['nhfeg', 1]",smiðanna,4,"['nkfeg', 4]",True,False
álíti,4,"['svg1en', 3, 'svg3en', 1]",áliti,50,"['nheþ', 43, 'svg3eþ', 6, 'svg1eþ', 1]",True,False
álít,19,"['sfg1en', 19]",álit,124,"['nheo', 83, 'nhen', 34, 'nhfn', 5, 'nhfo', 2]",True,False
níði,1,"['nheþ', 1]",niði,1,"['nkeþ', 1]",True,False
víðri,11,"['lveþsf', 11]",viðri,1,"['nkeþ', 1]",True,False
rísi,12,"['svg3fn', 6, 'svg3en', 5, 'svg1en', 1]",risi,29,"['nheþ', 19, 'nken', 7, 'svg3eþ', 3]",True,False
skríði,5,"['svg3en', 3, 'svg3fn', 2]",skriði,5,"['svg3eþ', 3, 'nheþ', 2]",True,False
ófríð,6,"['lvensf', 4, 'lhfnsf', 2]",ófrið,23,"['nkeo', 23]",True,False
þrífist,5,"['svm3fn', 4, 'svm3en', 1]",þrifist,14,"['ssm', 13, 'svm3en', 1]",False,False
víðum,21,"['lvfþsf', 13, 'lkeþsf', 5, 'lhfþsf', 3]",viðum,2,"['nkfþ', 1, 'nvfþ', 1]",True,False
múslíma,3,"['nkfe', 3]",múslima,2,"['nkfe', 2]",False,True
skríð,14,"['sfg1en', 14]",skrið,20,"['nkeo', 15, 'nhen', 3, 'nkeþ', 1, 'nheo', 1]",True,False
límir,13,"['sfg3en', 13]",limir,4,"['nkfn', 4]",True,False
svíf,6,"['sfg1en', 6]",svif,6,"['nhfn', 4, 'nheo', 1, 'nhfo', 1]",True,False
refilstígum,2,"['nkfþ', 2]",refilstigum,2,"['nkfþ', 2]",False,True
bítur,44,"['sfg3en', 37, 'nken', 7]",bitur,22,"['lkensf', 18, 'lhfnsf', 3, 'lvensf', 1]",True,False
síð,18,"['lvensf', 9, 'aa', 4, 'lhfosf', 2, 'lhfnsf', 1, 'lhfosf', 1, 'lvensf', 1]",sið,105,"['nkeþ', 50, 'nkeo', 41, 'nheo', 8, 'nhen', 2, 'nhfn', 1, 'nhfo', 1, 'x', 1, 'nheng', 1]",True,False
víði,18,"['nheþ', 7, 'nkeþs', 4, 'nkeos', 3, 'nkeþ', 2, 'nhen', 2]",viði,31,"['nkeþ', 31]",False,False
víss,1,"['lheesf', 1]",viss,836,"['lkensf', 487, 'lvensf', 312, 'lhfnsf', 21, 'lvenof', 8, 'lhfosf', 7, 'lkeesf', 1]",True,False
hlíðin,10,"['nveng', 10]",hliðin,14,"['nveng', 6, 'x', 6, 'nhfog', 2]",False,False
kími,2,"['nheþ', 2]",kimi,3,"['nken', 2, 'e', 1]",True,False
sígi,3,"['svg3en', 2, 'svg3fn', 1]",sigi,3,"['svg3en', 2, 'nheþ', 1]",False,False
fátíð,4,"['lvensf', 3, 'lhfnsf', 1]",fátið,5,"['nheog', 3, 'nheng', 2]",True,False
smíð,19,"['nven', 9, 'nveo', 6, 'nveþ', 3, 'nhfn', 1]",smið,11,"['nkeo', 9, 'nkeþ', 2]",True,False
slíti,2,"['svg3en', 2]",sliti,7,"['svg3eþ', 6, 'nheþ', 1]",True,False
rím,8,"['nheo', 5, 'nhen', 2, 'nhfo', 1]",rim,4,"['nveþ', 4]",True,False
stíginn,19,"['nkeog', 19]",stiginn,27,"['sþgken', 17, 'nkeng', 8, 'nkeog', 2]",False,False
ríð,4,"['sfg1en', 4]",rið,3,"['nheogs', 1, 'nheog', 1, 'nheng', 1]",True,False
álíta,15,"['sng', 8, 'sfg3fn', 7]",álita,23,"['nhfe', 23]",True,False
álítum,7,"['sfg1fn', 7]",álitum,5,"['nhfþ', 5]",True,False
grípið,8,"['sbg2fn', 7, 'nheog', 1]",gripið,112,"['ssg', 78, 'sþghen', 34]",True,False
hlíð,25,"['nveþ', 11, 'nveo', 6, 'nveþs', 5, 'nven', 3]",hlið,764,"['nveo', 592, 'nven', 85, 'nveþ', 63, 'nhen', 11, 'nheo', 9, 'nhfo', 2, 'nveos', 1, 'nvens', 1]",False,False
víta,1,"['sng', 1]",vita,2003,"['sng', 1741, 'sfg3fn', 245, 'nven', 6, 'aa', 4, 'nkeþ', 2, 'nkfe', 2, 'nkfo', 1, 'nkeo', 1, 'nkee', 1]",False,False
lagasmíð,2,"['nveþ', 2]",lagasmið,1,"['nkeo', 1]",True,False
sníðum,1,"['nvfþ', 1]",sniðum,23,"['nhfþ', 22, 'sfg1fþ', 1]",True,False
misklíð,7,"['nveþ', 4, 'nveo', 3]",misklið,2,"['nkeo', 2]",True,False
álítið,3,"['sbg2fn', 2, 'sfg2fn', 1]",álitið,45,"['sþghen', 26, 'ssg', 11, 'nheng', 4, 'nheog', 3, 'lhensf', 1]",True,False
bolsévíkum,2,"['nkfþ', 2]",bolsévikum,1,"['nkfþ', 1]",False,True
