Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical
málaðir,8,"['sþgkfn', 5, 'sfg2eþ', 2, 'lkfnsf', 1]",malaðir,1,"['sfg2eþ', 1]",False,False
árnar,13,"['nvfng', 7, 'nvfog', 6]",arnar,280,"['nkens', 169, 'nkeos', 48, 'nkees', 34, 'nken', 13, 'nkfn', 5, 'nkfn', 4, 'nvfng', 3, 'nvee', 3, 'nkee', 1]",False,False
ánna,9,"['nveog', 5, 'nvfeg', 4]",anna,228,"['nvens', 198, 'nvfe', 19, 'sng', 9, 'sfg3fn', 1, 'sbg2en', 1]",True,False
gát,30,"['nveþ', 19, 'nheo', 5, 'nveo', 4, 'nven', 2]",gat,3809,"['sfg3eþ', 2862, 'sfg1eþ', 881, 'nheo', 40, 'nhen', 21, 'nhens', 5]",False,False
pára,7,"['sng', 7]",para,10,"['nhfe', 9, 'nven', 1]",True,False
másandi,49,"['slg', 48, 'lkfevf', 1]",masandi,3,"['slg', 2, 'lvfevf', 1]",False,False
mátið,33,"['nheog', 33]",matið,7,"['nheng', 4, 'nheog', 3]",False,False
másaði,16,"['sfg3eþ', 16]",masaði,6,"['sfg3eþ', 6]",False,True
káfaði,4,"['sfg3eþ', 4]",kafaði,12,"['sfg3eþ', 12]",False,True
fátinu,9,"['nheþg', 9]",fatinu,11,"['nheþg', 11]",False,True
hrákinn,3,"['nkeng', 3]",hrakinn,9,"['lkensf', 5, 'sþgken', 4]",True,False
lást,6,"['sfg2eþ', 6]",last,10,"['e', 5, 'nhen', 2, 'nheo', 1, 'sfg2eþ', 1, 'ssm', 1]",False,False
flátt,1,"['lhensf', 1]",flatt,65,"['aa', 38, 'lheosf', 15, 'lhensf', 9, 'ssg', 3]",False,False
skálanum,62,"['nkeþg', 62]",skalanum,2,"['nkeþg', 2]",False,True
skálann,24,"['nkeog', 24]",skalann,3,"['nkeog', 3]",False,True
bági,2,"['nken', 2]",bagi,1,"['nken', 1]",False,True
ráðir,1,"['svg2en', 1]",raðir,38,"['nvfo', 23, 'nvfn', 15]",True,False
fár,16,"['lkensf', 13, 'nhen', 2, 'nheo', 1]",far,151,"['nheo', 121, 'e', 11, 'nhen', 9, 'sbg2en', 4, 'nkfn', 2, 'nheos', 2, 'lvenof', 1, 'lhenof', 1]",False,False
árni,310,"['nkens', 309, 'nken', 1]",arni,7,"['nkeþ', 7]",True,False
vangá,6,"['nveþ', 5, 'nven', 1]",vanga,94,"['nkeo', 35, 'nkeþ', 22, 'sng', 17, 'nkfo', 17, 'sfg3fn', 2, 'nkee', 1]",True,False
mága,1,"['nkfo', 1]",maga,104,"['nkeþ', 58, 'nkeo', 38, 'nkfo', 2, 'nkee', 2, 'nvfe', 1, 'nhens', 1, 'nven', 1, 'nkfe', 1]",False,False
nána,10,"['lkfosf', 6, 'lveosf', 2, 'lheovf', 1, 'lheþvf', 1]",nana,3,"['nvens', 2, 'nveog', 1]",True,False
áti,2,"['nheþ', 2]",ati,3,"['nheþ', 2, 'svg3en', 1]",False,False
bágar,1,"['lvfosf', 1]",bagar,1,"['sfg3en', 1]",True,False
tánna,13,"['nvfeg', 13]",tanna,14,"['nvfe', 11, 'nkfe', 1, 'sfg3fn', 1, 'sng', 1]",True,False
skáta,3,"['nkfo', 1, 'nkee', 1, 'nkfo', 1]",skata,6,"['nven', 6]",True,False
álfarnir,17,"['nkfng', 17]",alfarnir,1,"['lkfnsf', 1]",True,False
brák,3,"['nheo', 1, 'nven', 1, 'nhen', 1]",brak,24,"['nhen', 19, 'nheo', 5]",False,False
háttaði,8,"['sfg3eþ', 7, 'sfg1eþ', 1]",hattaði,1,"['sfg3eþ', 1]",False,False
háðar,16,"['lvfnsf', 15, 'lvfosf', 1]",haðar,1,"['nkees', 1]",True,False
álma,5,"['nven', 5]",alma,86,"['nvens', 86]",True,False
