Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
kaffi,581,"['nheo', 407, 'nhen', 101, 'nheþ', 69, 'nheþs', 2, 'nhens', 1, 'nhees', 1]",kafi,87,"['nheþ', 87]",False,False,
koffort,11,"['nhfo', 4, 'nhen', 3, 'nheo', 3, 'nhfn', 1]",kofort,2,"['nhen', 1, 'nhfo', 1]",False,False,
koffortin,1,"['nhfng', 1]",kofortin,2,"['nhfng', 1, 'nhfog', 1]",False,False,
sóffa,4,"['nkeo', 3, 'nkeþ', 1]",sófa,54,"['nkeþ', 36, 'nkeo', 16, 'nkfo', 2]",False,False,
vöfflur,1,"['nvfo', 1]",vöflur,17,"['nvfn', 10, 'nvfo', 7]",False,False,
eff,2,"['nhfn', 1, 'nhfo', 1]",ef,8640,"['c', 8591, 'sfg1en', 19, 'nkeo', 10, 'nkeþ', 7, 'nhfn', 6, 'nheo', 3, 'nhen', 2, 'e', 1, 'nhfo', 1]",False,False,
töfflunum,1,"['nvfþg', 1]",töflunum,3,"['nvfþg', 2, 'nhfþg', 1]",False,False,
effi,1,"['nheþ', 1]",efi,8,"['nken', 7, 'nheþ', 1]",False,False,
ekki,60134,"['aa', 60080, 'nkfo', 25, 'nheþ', 23, 'nken', 4, 'svg3en', 1, 'nveos', 1]",eggi,25,"['nheþ', 25]",False,False,
ekkert,7880,"['fohen', 5722, 'foheo', 2150, 'lhensf', 8]",eggert,83,"['nkens', 74, 'nkeos', 7, 'lhensf', 1, 'nkeþs', 1]",False,False,
bakka,101,"['nkeo', 39, 'nkeþs', 19, 'sng', 16, 'nkeþ', 14, 'nkeos', 7, 'nkfe', 3, 'sfg1en', 2, 'nkfo', 1]",bagga,36,"['nkeþ', 20, 'nkeo', 9, 'nkfo', 5, 'nkee', 1, 'nkfe', 1]",False,False,
bökkum,32,"['nkfþ', 31, 'nkfþs', 1]",böggum,4,"['nkfþ', 4]",False,False,
þakkað,34,"['ssg', 29, 'sþghen', 4, 'lhensf', 1]",þaggað,5,"['ssg', 3, 'lhensf', 2]",False,False,
þakka,437,"['sng', 237, 'sfg1en', 178, 'sfg3fn', 20, 'sbg2en', 2]",þagga,28,"['sng', 25, 'sfg3fn', 2, 'sfg1en', 1]",False,False,
þakkaði,150,"['sfg3eþ', 94, 'sfg1eþ', 55, 'svg3eþ', 1]",þaggaði,7,"['sfg3eþ', 7]",False,False,
sekkur,22,"['sfg3en', 15, 'nken', 7]",seggur,1,"['nken', 1]",False,False,
lokka,32,"['sng', 21, 'nkfo', 9, 'nkfe', 1, 'sfg3fn', 1]",logga,2,"['sng', 2]",False,False,
dökk,56,"['lvensf', 25, 'lhfosf', 15, 'lhfnsf', 14, 'nveþ', 2]",dögg,34,"['nven', 19, 'nvens', 7, 'nveo', 3, 'nveþ', 2, 'nveos', 2, 'lvensf', 1]",False,False,
hakkað,3,"['ssg', 3]",haggað,25,"['sþghen', 19, 'ssg', 6]",False,False,
rukka,10,"['sng', 10]",rugga,10,"['sng', 9, 'sfg3fn', 1]",False,False,
flakka,39,"['sng', 35, 'sfg1en', 3, 'sfg3fn', 1]",flagga,19,"['sng', 19]",False,False,
rukkaði,1,"['sfg3eþ', 1]",ruggaði,9,"['sfg3eþ', 8, 'sfg1eþ', 1]",False,False,
hnekkja,11,"['sng', 11]",hneggja,5,"['sng', 3, 'sfg3fn', 2]",False,False,
ekkjum,5,"['nvfþ', 5]",eggjum,39,"['nhfþ', 33, 'nvfþ', 6]",False,False,
flakk,15,"['nheo', 14, 'nhen', 1]",flagg,4,"['nheo', 3, 'as', 1]",False,False,
bakki,14,"['nken', 12, 'nkens', 1, 'svg3en', 1]",baggi,3,"['nken', 3]",False,False,
bakkar,19,"['sfg3en', 10, 'nkfn', 9]",baggar,2,"['nkfn', 2]",False,False,
brakka,2,"['nkeo', 2]",bragga,23,"['nkeþ', 10, 'nkeo', 10, 'nkfo', 2, 'nkfe', 1]",False,False,
stekkurinn,7,"['nkeng', 7]",steggurinn,12,"['nkengs', 8, 'nkeng', 4]",False,False,
stekkinn,4,"['nkeog', 4]",stegginn,2,"['nkeng', 1, 'nkeog', 1]",False,False,
hökkuðu,2,"['sfg3fþ', 2]",högguðu,2,"['lheþsf', 1, 'sfg3fþ', 1]",False,False,
makki,1,"['nken', 1]",maggi,79,"['nkens', 60, 'nken', 19]",False,False,
veggi,105,"['nkfo', 104, 'svg3en', 1]",vegi,229,"['nkeþ', 205, 'nkfo', 20, 'svg3en', 2, 'svg3fn', 2]",False,False,
hugga,68,"['sng', 66, 'sfg1en', 2]",huga,836,"['nkeþ', 657, 'nkeo', 89, 'sng', 79, 'sfg3fn', 4, 'nkee', 3, 'nkees', 2, 'nkfo', 1, 'nkfe', 1]",False,False,
tyggja,21,"['sng', 20, 'nkeþ', 1]",tygja,10,"['sng', 10]",False,False,
leggir,11,"['nkfn', 7, 'svg2en', 4]",legir,1,"['nkfn', 1]",False,False,
vaggaði,13,"['sfg3eþ', 12, 'sfg1eþ', 1]",vagaði,4,"['sfg3eþ', 4]",False,False,
vegg,243,"['nkeo', 130, 'nkeþ', 113]",veg,534,"['nkeo', 533, 'sfg1en', 1]",False,False,
vagga,17,"['sng', 13, 'nven', 3, 'nvfe', 1]",vaga,2,"['sng', 1, 'nven', 1]",False,False,
dyggð,5,"['nven', 4, 'nveo', 1]",dygð,1,"['nveo', 1]",False,False,
sigg,2,"['nhen', 1, 'nheo', 1]",sig,12880,"['fpkeo', 7905, 'fpveo', 2422, 'fpkfo', 1619, 'fpheo', 610, 'fphfo', 184, 'fpvfo', 130, 'nhen', 3, 'nheo', 2, 'nhfn', 2, 'nhfo', 2, 'nvens', 1]",False,False,
höggum,15,"['nhfþ', 14, 'sfg1fn', 1]",högum,41,"['nkfþ', 33, 'sfg1fn', 5, 'lkeþsf', 1, 'lhfþsf', 1, 'lvfþsf', 1]",False,False,
vegginn,186,"['nkeog', 186]",veginn,903,"['nkeog', 902, 'lkensf', 1]",False,False,
