Word form,Total count,POS tags and their frequency,Word form,Total count,POS tags and their frequency,Grammatically disjoint,Grammatically identical,Min freq
kompán,1,"['nken', 1]",kompan,3,"['nveng', 3]",True,False,
rána,7,"['nhfe', 6, 'nveog', 1]",rana,4,"['nkeþ', 3, 'nkfo', 1]",True,False,
krám,4,"['nvfþ', 4]",kram,1,"['nheo', 1]",True,False,
nestá,1,"['nveþ', 1]",nesta,1,"['sng', 1]",True,False,
hundár,1,"['nvees', 1]",hundar,57,"['nkfn', 57]",True,False,
háf,1,"['nkeþ', 1]",haf,109,"['nheo', 82, 'nhen', 16, 'x', 10, 'sbg2en', 1]",True,False,
álið,2,"['nheog', 2]",alið,48,"['ssg', 39, 'lhensf', 5, 'sbg2fn', 3, 'nkeþ', 1]",True,False,
hási,1,"['lkenvf', 1]",hasi,1,"['nken', 1]",True,False,
káma,3,"['sng', 2, 'nven', 1]",kama,1,"['sbg2en', 1]",True,False,
mannást,1,"['nveþ', 1]",mannast,2,"['snm', 2]",True,False,
tág,2,"['nven', 2]",tag,1,"['nhen', 1]",True,False,
glápið,2,"['nheng', 1, 'nheog', 1]",glapið,2,"['ssg', 2]",True,False,
álka,2,"['nven', 2]",alka,3,"['nkfo', 2, 'nkeo', 1]",True,False,
ránni,2,"['nveþg', 2]",ranni,3,"['nkeþ', 3]",True,False,
ljósár,2,"['nheo', 1, 'nvees', 1]",ljósar,22,"['lvfnsf', 10, 'lvfosf', 10, 'aam', 2]",True,False,
spána,1,"['nveog', 1]",spana,4,"['sng', 3, 'sfg3fn', 1]",True,False,
illskást,1,"['lheose', 1]",illskast,1,"['snm', 1]",True,False,
plága,4,"['nven', 4]",plaga,5,"['sng', 3, 'sfg3fn', 2]",True,False,
hána,1,"['nveog', 1]",hana,8308,"['fpveo', 8290, 'au', 16, 'nkeo', 1, 'nkeos', 1]",True,False,
kássa,2,"['nven', 2]",kassa,111,"['nkeo', 72, 'nkeþ', 27, 'nkfo', 11, 'nkee', 1]",True,False,
ásinn,3,"['nkeog', 3]",asinn,6,"['nkeng', 6]",True,False,
áma,1,"['nven', 1]",ama,13,"['nkee', 10, 'nkeo', 2, 'sfg3fn', 1]",True,False,
framlág,2,"['lvensf', 2]",framlag,38,"['nhen', 19, 'nheo', 19]",True,False,
kráka,1,"['nven', 1]",kraka,1,"['sng', 1]",True,False,
vár,1,"['nvee', 1]",var,66534,"['sfg3eþ', 60939, 'sfg1eþ', 5499, 'lkensf', 82, 'sfg3en', 6, 'x', 3, 'nhen', 2, 'nvfo', 1, 'nkfn', 1, 'nken', 1]",True,False,
ási,39,"['nkens', 31, 'nkeþs', 7, 'nkeþ', 1]",asi,15,"['nken', 14, 'e', 1]",True,False,
káfið,1,"['nheng', 1]",kafið,1,"['lhensf', 1]",True,False,
málir,1,"['svg2en', 1]",malir,1,"['nvfn', 1]",True,False,
lét,2213,"['sfg3eþ', 1868, 'sfg1eþ', 345]",let,6,"['e', 6]",True,False,
mér,22243,"['fp1eþ', 22199, 'fp1eþ', 42, 'as', 1, 'nvfo', 1]",mer,2,"['sfg3en', 1, 'e', 1]",True,False,
lék,309,"['sfg3eþ', 290, 'sfg1eþ', 19]",lek,12,"['lhfnsf', 4, 'lvensf', 3, 'nhfo', 1, 'nhen', 1, 'sfg1en', 1, 'nheo', 1, 'nhfn', 1]",True,False,
vér,177,"['fp1fn', 177]",ver,47,"['sfg3en', 24, 'x', 17, 'nxeo', 2, 'nheo', 1, 'nhfo', 1, 'nhen', 1, 'sfg1en', 1]",True,False,
séð,1738,"['ssg', 1562, 'sþghen', 171, 'lhensf', 2, 'nheþs', 2, 'lhfosf', 1]",seð,1,"['sfg1en', 1]",True,False,
lést,122,"['sfm3eþ', 110, 'sfg2eþ', 12]",lest,76,"['nveþ', 28, 'nveo', 25, 'sfg2en', 10, 'nven', 5, 'ssg', 5, 'sfm3en', 2, 'nkeo', 1]",True,False,
hélt,2895,"['sfg3eþ', 2207, 'sfg1eþ', 681, 'sfg2eþ', 5, 'sfg1fþ', 1, 'sfg3fþ', 1]",helt,3,"['lhensf', 2, 'ssg', 1]",True,False,
héldu,533,"['sfg3fþ', 525, 'svg3fþ', 8]",heldu,1,"['lheþsf', 1]",True,False,
lékum,23,"['sfg1fþ', 23]",lekum,3,"['lkeþsf', 1, 'svg1fn', 1, 'lhfþsf', 1]",True,False,
hélst,71,"['sfm2eþ', 26, 'sfm3eþ', 22, 'sfg2eþ', 13, 'sfm3fþ', 5, 'sfm1eþ', 4, 'sfm1fþ', 1]",helst,815,"['aae', 809, 'sfm3en', 4, 'lvense', 1, 'sfm3fn', 1]",True,False,
él,6,"['nhfo', 2, 'nheo', 2, 'nhen', 1, 'nhfn', 1]",el,19,"['e', 18, 'sfg1en', 1]",True,False,
blés,127,"['sfg3eþ', 118, 'sfg1eþ', 9]",bles,1,"['nven', 1]",True,False,
héngi,10,"['svg3eþ', 10]",hengi,9,"['sfg1en', 5, 'svg3fn', 3, 'nhen', 1]",True,False,
léku,80,"['sfg3fþ', 80]",leku,8,"['lheþsf', 5, 'lveevf', 1, 'lhfnvf', 1, 'lhfþvf', 1]",True,False,
léti,171,"['svg3eþ', 139, 'svg1eþ', 32]",leti,19,"['nveþ', 9, 'nveo', 5, 'nven', 5]",True,False,
vék,126,"['sfg3eþ', 117, 'sfg1eþ', 9]",vek,9,"['sfg1en', 8, 'sbg2en', 1]",True,False,
mél,4,"['nheo', 4]",mel,10,"['nkeo', 3, 'nkeþ', 3, 'e', 3, 'nkeþs', 1]",True,False,
félli,43,"['svg3eþ', 38, 'svg1eþ', 4, 'svg2fþ', 1]",felli,25,"['nheþs', 17, 'svg3en', 3, 'nkeþ', 3, 'sfg1en', 1, 'nheþ', 1]",True,False,
léki,27,"['svg3eþ', 26, 'svg1eþ', 1]",leki,14,"['nken', 8, 'svg3en', 4, 'svg2en', 1, 'svg3fn', 1]",True,False,
